ProcessName , Mobile Device Vitals
StartReplayTime ,	2020-01-14 09:56:03
Limits			,-1		,-1 
Time  ,  Cpu (in %) ,  Free Memory (in KB) 
2020-01-14 09:56:03   ,  0 ,  0 
2020-01-14 09:56:05 ,  0 ,  0
2020-01-14 09:56:06 ,  0 ,  0
2020-01-14 09:56:07 ,  0 ,  749088
2020-01-14 09:56:08 ,  0 ,  748228
2020-01-14 09:56:09 ,  0 ,  748228
2020-01-14 09:56:10 ,  0 ,  758908
2020-01-14 09:56:11 ,  8 ,  757580
2020-01-14 09:56:12 ,  8 ,  757580
2020-01-14 09:56:13 ,  0 ,  755688
2020-01-14 09:56:14 ,  0 ,  755964
2020-01-14 09:56:15 ,  0 ,  756068
2020-01-14 09:56:16 ,  0 ,  756068
2020-01-14 09:56:17 ,  0 ,  756656
2020-01-14 09:56:19 ,  0 ,  765280
2020-01-14 09:56:19 ,  0 ,  765280
2020-01-14 09:56:20 ,  0 ,  762524
2020-01-14 09:56:21 ,  1 ,  762484
2020-01-14 09:56:22 ,  0 ,  765116
2020-01-14 09:56:23 ,  0 ,  765116
2020-01-14 09:56:24 ,  0 ,  765692
2020-01-14 09:56:25 ,  0 ,  765304
2020-01-14 09:56:26 ,  0 ,  765304
2020-01-14 09:56:27 ,  0 ,  763684
2020-01-14 09:56:28 ,  0 ,  762712
2020-01-14 09:56:29 ,  0 ,  760916
2020-01-14 09:56:30 ,  0 ,  760916
2020-01-14 09:56:31 ,  10 ,  743840
2020-01-14 09:56:32 ,  1 ,  746236
2020-01-14 09:56:33 ,  0 ,  745776
2020-01-14 09:56:34 ,  0 ,  745776
2020-01-14 09:56:35 ,  0 ,  753196
2020-01-14 09:56:36 ,  1 ,  749980
2020-01-14 09:56:37 ,  1 ,  749980
2020-01-14 09:56:38 ,  1 ,  748696
2020-01-14 09:56:39 ,  1 ,  747852
2020-01-14 09:56:40 ,  2 ,  714824
2020-01-14 09:56:41 ,  2 ,  714824
2020-01-14 09:56:42 ,  0 ,  740512
2020-01-14 09:56:44 ,  0 ,  741228
2020-01-14 09:56:44 ,  0 ,  741228
2020-01-14 09:56:45 ,  0 ,  755492
2020-01-14 09:56:46 ,  0 ,  763776
2020-01-14 09:56:47 ,  0 ,  747288
2020-01-14 09:56:48 ,  0 ,  747288
2020-01-14 09:56:49 ,  0 ,  749608
2020-01-14 09:56:50 ,  0 ,  750908
2020-01-14 09:56:51 ,  0 ,  752760
2020-01-14 09:56:52 ,  0 ,  752760
2020-01-14 09:56:53 ,  0 ,  763044
2020-01-14 09:56:54 ,  0 ,  760484
2020-01-14 09:56:55 ,  0 ,  760484
2020-01-14 09:56:56 ,  1 ,  759964
2020-01-14 09:56:57 ,  0 ,  758852
2020-01-14 09:56:58 ,  14 ,  747908
2020-01-14 09:56:59 ,  14 ,  747908
2020-01-14 09:57:00 ,  7 ,  745640
2020-01-14 09:57:01 ,  0 ,  754340
2020-01-14 09:57:02 ,  0 ,  754340
2020-01-14 09:57:03 ,  0 ,  754292
2020-01-14 09:57:04 ,  2 ,  748988
2020-01-14 09:57:05 ,  0 ,  744504
2020-01-14 09:57:06 ,  0 ,  744504
2020-01-14 09:57:07 ,  3 ,  745272
2020-01-14 09:57:08 ,  0 ,  744936
2020-01-14 09:57:09 ,  0 ,  744936
2020-01-14 09:57:10 ,  0 ,  751120
2020-01-14 09:57:11 ,  0 ,  760088
2020-01-14 09:57:12 ,  0 ,  758844
2020-01-14 09:57:13 ,  0 ,  758844
2020-01-14 09:57:14 ,  0 ,  758292
